slug,name,industry,subtype,parent,batch,folder,table_count,row_count,tables
"2nd-chance-orange-beach-fishing-charters","","","","","1","batch-01","20","141","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_tags entity_theme industry_charter_fishing legacy_photo_migration_queue search_index v_industry_facts_slugs"
"3-casino-beach-boardwalk-parking-abxnYo","","","","","1","batch-01","23","146","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_items_norm_v entity_items_v entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_photos entity_reviews entity_tags entity_theme industry_parking search_index v_industry_facts_slugs"
"3-day-weekend","","","","","1","batch-01","1","1","artist_profiles"
"3-tan","","","","","1","batch-01","5","7","entity_completeness_v entity_photos entity_tags entity_theme search_index"
"3111-loop-rd-parking","","","","","1","batch-01","23","85","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_items_norm_v entity_items_v entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_photos entity_reviews entity_tags entity_theme industry_parking search_index v_industry_facts_slugs"
"32-charters","","","","","1","batch-01","23","160","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_address_areas entity_attributes entity_completeness_v entity_conflicts entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_sources entity_tags entity_theme industry_tour_operator legacy_photo_migration_queue search_index v_industry_facts_slugs"
"32-charters-llc","","","","","1","batch-01","8","13","entity_completeness_v entity_conflicts entity_sources entity_tags entity_theme industry_charter_fishing search_index v_industry_facts_slugs"
"3rd-base-sports-bar-7oF5mg","","","","","1","batch-01","19","148","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_tags entity_theme industry_bar_nightlife search_index v_industry_facts_slugs"
"4-seasons-outfitters","","","","","1","batch-01","20","54","entity_amenities entity_attributes entity_completeness_v entity_items_norm_v entity_items_v entity_offer entity_offer_fee entity_photos entity_policies entity_refund_policy entity_sources entity_tags entity_theme industry_charter_fishing offering_prices offerings offerings_details_backup pricing_items search_index v_industry_facts_slugs"
"4099-orange-beach-blvd","","","","","1","batch-01","16","52","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full bookable_resources bookable_resources_json_backup entity_address_areas entity_completeness_v entity_google_maps_links entity_items_norm_v entity_items_v entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_tags entity_theme search_index"
